"","spec","pi_param","kappa","de_rd","de_rd_var","var_to_use","std_err","ci_low","ci_high","setup","augmented","iter","m_e","kappa_","true_de"
"1","hetero","150",0.932692307692308,0.528284372760546,0.0295253412977276,0.0295253412977276,0.171829395906893,0.191504945297762,0.865063800223329,"hetero",FALSE,1,150,0.932692307692308,0.52
"2","homo","150",0.932692307692308,0.528803625473248,0.0280247614690105,0.0280247614690105,0.167405977996637,0.200693937803135,0.856913313143361,"hetero",FALSE,1,150,0.932692307692308,0.52
"3","hetero","150",0.932692307692308,0.561777671556093,0.00500334726464234,0.00500334726464234,0.0707343428939744,0.423140907013796,0.700414436098389,"hetero",TRUE,1,150,0.932692307692308,0.52
"4","homo","150",0.932692307692308,0.562329844959154,0.00502414660548006,0.00502414660548006,0.0708812147573675,0.423405216854265,0.701254473064043,"hetero",TRUE,1,150,0.932692307692308,0.52
"5","Naive","0",1,0.51,0.0107995,0.0107995,0.103920642800168,0.30631928286142,0.71368071713858,"hetero",FALSE,1,150,0.932692307692308,0.52
"6","Naive","0",1,0.54233406715491,0.00334991681363515,0.00334991681363515,0.0578784658887496,0.428894358532531,0.655773775777289,"hetero",TRUE,1,150,0.932692307692308,0.52
"7","hetero","150",0.932692307692308,0.290038479162652,0.0297611116502317,0.0297611116502317,0.172514091164263,-0.0480829263449629,0.628159884670268,"hetero",FALSE,2,150,0.932692307692308,0.52
"8","homo","150",0.932692307692308,0.290323559083352,0.0280182278812051,0.0280182278812051,0.167386462658141,-0.0377478792261622,0.618394997392866,"hetero",FALSE,2,150,0.932692307692308,0.52
"9","hetero","150",0.932692307692308,0.488149641855055,0.00614570022340475,0.00614570022340475,0.0783945165391353,0.33449921285292,0.641800070857189,"hetero",TRUE,2,150,0.932692307692308,0.52
"10","homo","150",0.932692307692308,0.4886294459886,0.00612481012101367,0.00612481012101367,0.0782611661107453,0.335240379023433,0.642018512953767,"hetero",TRUE,2,150,0.932692307692308,0.52
"11","Naive","0",1,0.28,0.011408,0.011408,0.106808239382549,0.0706596975580707,0.489340302441929,"hetero",FALSE,2,150,0.932692307692308,0.52
"12","Naive","0",1,0.471254366365521,0.00391543898972726,0.00391543898972726,0.062573468736576,0.348612621254089,0.593896111476953,"hetero",TRUE,2,150,0.932692307692308,0.52
"13","hetero","150",0.932692307692308,0.631869543890064,0.0303292179294405,0.0303292179294405,0.174152857942213,0.290536214518607,0.973202873261521,"hetero",FALSE,3,150,0.932692307692308,0.52
"14","homo","150",0.932692307692308,0.632490610860159,0.028689344842286,0.028689344842286,0.169379292837956,0.300513297170903,0.964467924549415,"hetero",FALSE,3,150,0.932692307692308,0.52
"15","hetero","150",0.932692307692308,0.499433079550208,0.00501114918366504,0.00501114918366504,0.0707894708531222,0.360688266193441,0.638177892906975,"hetero",TRUE,3,150,0.932692307692308,0.52
"16","homo","150",0.932692307692308,0.499923974217439,0.00499381933341033,0.00499381933341033,0.070666960691757,0.361419276364688,0.638428672070191,"hetero",TRUE,3,150,0.932692307692308,0.52
"17","Naive","0",1,0.61,0.0108395,0.0108395,0.104112919467278,0.405942427518816,0.814057572481184,"hetero",FALSE,3,150,0.932692307692308,0.52
"18","Naive","0",1,0.482147274657428,0.00329258993585774,0.00329258993585774,0.0573810938886471,0.369682397242169,0.594612152072688,"hetero",TRUE,3,150,0.932692307692308,0.52
"19","hetero","150",0.932692307692308,0.403982167405123,0.0299717971211499,0.0299717971211499,0.173123646915001,0.0646660545794925,0.743298280230754,"hetero",FALSE,4,150,0.932692307692308,0.52
"20","homo","150",0.932692307692308,0.404379243008954,0.0287756864713246,0.0287756864713246,0.169633977938751,0.0719027556947407,0.736855730323168,"hetero",FALSE,4,150,0.932692307692308,0.52
"21","hetero","150",0.932692307692308,0.492447566571065,0.00558760616363136,0.00558760616363136,0.0747502920638532,0.345939686292063,0.638955446850068,"hetero",TRUE,4,150,0.932692307692308,0.52
