"","spec","pi_param","kappa","de_rd","de_rd_var","var_to_use","std_err","ci_low","ci_high","setup","augmented","iter","m_e","kappa_","true_de"
"1","hetero","150",1.5,2.21480034423446,0.0580471991258051,0.0580471991258051,0.240929863499329,1.74258648897563,2.6870141994933,"hetero",FALSE,1,150,1.5,2
"2","homo","150",1.5,2.20246283044361,0.0545100472587389,0.0545100472587389,0.23347386847084,1.74486245690953,2.6600632039777,"hetero",FALSE,1,150,1.5,2
"3","hetero","150",1.5,2.15300350557636,0.0270817523557227,0.0270817523557227,0.164565343726201,1.83046135876955,2.47554565238316,"hetero",TRUE,1,150,1.5,2
"4","homo","150",1.5,2.1410102301956,0.0263180230520456,0.0263180230520456,0.162228305335553,1.82304859446495,2.45897186592625,"hetero",TRUE,1,150,1.5,2
"5","Naive","0",1,2.78424587475239,0.0369441685444454,0.0369441685444454,0.192208658869587,2.40752382585125,3.16096792365352,"hetero",FALSE,1,150,1.5,2
"6","Naive","0",1,2.70656050073912,0.0294890010617225,0.0294890010617225,0.17172361824083,2.36998839369219,3.04313260778605,"hetero",TRUE,1,150,1.5,2
"7","hetero","150",1.5,1.99127928488578,0.0601356853461208,0.0601356853461208,0.2452257844235,1.51064557933514,2.47191299043643,"hetero",FALSE,2,150,1.5,2
"8","homo","150",1.5,1.98018689197431,0.0572120672740226,0.0572120672740226,0.239190441435319,1.51138224131485,2.44899154263378,"hetero",FALSE,2,150,1.5,2
"9","hetero","150",1.5,2.25785975581158,0.0252483391647457,0.0252483391647457,0.158897259777335,1.9464268494059,2.56929266221726,"hetero",TRUE,2,150,1.5,2
"10","homo","150",1.5,2.24528238018148,0.02457802113975,0.02457802113975,0.15677378970909,1.9380113986318,2.55255336173115,"hetero",TRUE,2,150,1.5,2
"11","Naive","0",1,2.50325549607925,0.039686907927798,0.039686907927798,0.199215732129262,2.11279983595212,2.89371115620638,"hetero",FALSE,2,150,1.5,2
"12","Naive","0",1,2.83837625691751,0.0272742939463655,0.0272742939463655,0.165149308040832,2.51468956108577,3.16206295274925,"hetero",TRUE,2,150,1.5,2
"13","hetero","150",1.5,2.200372629332,0.0582441032851963,0.0582441032851963,0.241338151325472,1.72735854463859,2.6733867140254,"hetero",FALSE,3,150,1.5,2
"14","homo","150",1.5,2.18811548492164,0.0555971849851101,0.0555971849851101,0.235790553214309,1.72597449272682,2.65025647711646,"hetero",FALSE,3,150,1.5,2
"15","hetero","150",1.5,2.09856559596879,0.0259492535784747,0.0259492535784747,0.161087720135567,1.78283946615141,2.41429172578617,"hetero",TRUE,3,150,1.5,2
"16","homo","150",1.5,2.0868755661886,0.0254833398674955,0.0254833398674955,0.159635020805259,1.77399667473899,2.39975445763821,"hetero",TRUE,3,150,1.5,2
"17","Naive","0",1,2.76610866170568,0.0392612425230398,0.0392612425230398,0.198144499098612,2.37775257973767,3.15446474367369,"hetero",FALSE,3,150,1.5,2
"18","Naive","0",1,2.63812610409042,0.0283354368526015,0.0283354368526015,0.168331330573371,2.30820275869691,2.96804944948393,"hetero",TRUE,3,150,1.5,2
"19","hetero","150",1.5,1.97185154828798,0.0579624522538739,0.0579624522538739,0.24075392469049,1.49998252675795,2.44372056981801,"hetero",FALSE,4,150,1.5,2
"20","homo","150",1.5,1.96086737730668,0.0551376441032382,0.0551376441032382,0.23481406283108,1.50064027109424,2.42109448351912,"hetero",FALSE,4,150,1.5,2
"21","hetero","150",1.5,2.04122961396995,0.0274246841229062,0.0274246841229062,0.165603997907376,1.71665174237564,2.36580748556425,"hetero",TRUE,4,150,1.5,2
"22","homo","150",1.5,2.02985897346134,0.0270119090692392,0.0270119090692392,0.164353001400154,1.70773300996597,2.3519849369567,"hetero",TRUE,4,150,1.5,2
"23","Naive","0",1,2.47883270979107,0.0400671961010921,0.0400671961010921,0.200167919760116,2.08651079620094,2.8711546233812,"hetero",FALSE,4,150,1.5,2
"24","Naive","0",1,2.5660485139949,0.0300218604237334,0.0300218604237334,0.173268174872749,2.22644913157732,2.90564789641248,"hetero",TRUE,4,150,1.5,2
"25","hetero","150",1.5,1.8532214944341,0.0591717960520646,0.0591717960520646,0.243252535551152,1.3764552856058,2.32998770326241,"hetero",FALSE,5,150,1.5,2
"26","homo","150",1.5,1.84289815047915,0.0551809829070953,0.0551809829070953,0.234906327941789,1.38249020797269,2.30330609298561,"hetero",FALSE,5,150,1.5,2
"27","hetero","150",1.5,1.92824420728756,0.0274497111865602,0.0274497111865602,0.165679543657508,1.60351826874381,2.25297014583131,"hetero",TRUE,5,150,1.5,2
"28","homo","150",1.5,1.91750295037858,0.0265341126880046,0.0265341126880046,0.162892948552123,1.59823863788088,2.23676726287627,"hetero",TRUE,5,150,1.5,2
"29","Naive","0",1,2.32970177845267,0.0389313439867555,0.0389313439867555,0.197310273393849,1.94298074882097,2.71642280808436,"hetero",FALSE,5,150,1.5,2
"30","Naive","0",1,2.42401352051047,0.0298638135725143,0.0298638135725143,0.172811497223172,2.08530920983861,2.76271783118233,"hetero",TRUE,5,150,1.5,2
"31","hetero","150",1.5,2.0829522552657,0.0616388685152534,0.0616388685152534,0.248271763427204,1.59634854057013,2.56955596996126,"hetero",FALSE,6,150,1.5,2
"32","homo","150",1.5,2.07134919937765,0.0582532497823041,0.0582532497823041,0.241357100128221,1.59829797571331,2.54440042304199,"hetero",FALSE,6,150,1.5,2
"33","hetero","150",1.5,1.97642873382638,0.0280972294477814,0.0280972294477814,0.167622282074256,1.64789509795442,2.30496236969833,"hetero",TRUE,6,150,1.5,2
"34","homo","150",1.5,1.96541906569819,0.0273129367012978,0.0273129367012978,0.165266260020906,1.64150314819758,2.2893349831988,"hetero",TRUE,6,150,1.5,2
"35","Naive","0",1,2.61849842994957,0.0415692675704334,0.0415692675704334,0.203885427557816,2.2188903349637,3.01810652493544,"hetero",FALSE,6,150,1.5,2
"36","Naive","0",1,2.48458673181226,0.0306381727698777,0.0306381727698777,0.175037632439078,2.14151927629251,2.82765418733201,"hetero",TRUE,6,150,1.5,2
"37","hetero","150",1.5,2.15432088936854,0.0595113706235493,0.0595113706235493,0.243949524745488,1.67618860682172,2.63245317191536,"hetero",FALSE,7,150,1.5,2
"38","homo","150",1.5,2.14232027552012,0.0563982032345961,0.0563982032345961,0.237483058837038,1.67686203326112,2.60777851777913,"hetero",FALSE,7,150,1.5,2
"39","hetero","150",1.5,2.24348422235541,0.0262772975095799,0.0262772975095799,0.162102737514145,1.92576869503234,2.56119974967849,"hetero",TRUE,7,150,1.5,2
"40","homo","150",1.5,2.23098692542979,0.0255504117191721,0.0255504117191721,0.159844961506993,1.9176965577659,2.54427729309369,"hetero",TRUE,7,150,1.5,2
"41","Naive","0",1,2.70821659601579,0.0391909253279423,0.0391909253279423,0.197966980398101,2.32020844430736,3.09622474772421,"hetero",FALSE,7,150,1.5,2
"42","Naive","0",1,2.82030464164668,0.0287720828600464,0.0287720828600464,0.169623355880157,2.48784897318475,3.15276031010861,"hetero",TRUE,7,150,1.5,2
"43","hetero","150",1.5,2.30854872631672,0.0580220285322106,0.0580220285322106,0.240877621484875,1.83643726352469,2.78066018910874,"hetero",FALSE,8,150,1.5,2
"44","homo","150",1.5,2.29568898849795,0.0553262219271755,0.0553262219271755,0.23521526720682,1.83467553615862,2.75670244083728,"hetero",FALSE,8,150,1.5,2
"45","hetero","150",1.5,2.2021355293302,0.0265025222354633,0.0265025222354633,0.162795952761312,1.88306132508915,2.52120973357126,"hetero",TRUE,8,150,1.5,2
"46","homo","150",1.5,2.1898685647105,0.0258349454833246,0.0258349454833246,0.160732527769971,1.87483859913727,2.50489853028373,"hetero",TRUE,8,150,1.5,2
"47","Naive","0",1,2.90209782775425,0.0392176778628202,0.0392176778628202,0.198034537045486,2.51395726745003,3.29023838805847,"hetero",FALSE,8,150,1.5,2
"48","Naive","0",1,2.76832481950085,0.0288999710782923,0.0288999710782923,0.169999914936133,2.43513110885115,3.10151853015054,"hetero",TRUE,8,150,1.5,2
"49","hetero","150",1.5,2.0244268594607,0.0615360766061211,0.0615360766061211,0.248064662147032,1.53822905581543,2.51062466310598,"hetero",FALSE,9,150,1.5,2
"50","homo","150",1.5,2.01314981845691,0.0578972069661027,0.0578972069661027,0.240618384513949,1.54154645079136,2.48475318612246,"hetero",FALSE,9,150,1.5,2
"51","hetero","150",1.5,2.07073108608036,0.0268624385104233,0.0268624385104233,0.16389764644565,1.74949760189601,2.39196457026471,"hetero",TRUE,9,150,1.5,2
"52","homo","150",1.5,2.0591961080413,0.026088737842063,0.026088737842063,0.161520084949405,1.74262255876061,2.37576965732198,"hetero",TRUE,9,150,1.5,2
"53","Naive","0",1,2.54492561682332,0.0409734923558804,0.0409734923558804,0.202419100768382,2.14819146953431,2.94165976411234,"hetero",FALSE,9,150,1.5,2
"54","Naive","0",1,2.60313508580999,0.029435076734501,0.029435076734501,0.171566537339019,2.26687085167327,2.93939931994672,"hetero",TRUE,9,150,1.5,2
"55","hetero","150",1.5,2.29965195124725,0.0586963300205468,0.0586963300205468,0.242273254860182,1.824805097304,2.7744988051905,"hetero",FALSE,10,150,1.5,2
"56","homo","150",1.5,2.28684177278736,0.0552285261646132,0.0552285261646132,0.235007502358144,1.82623553206869,2.74744801350604,"hetero",FALSE,10,150,1.5,2
"57","hetero","150",1.5,2.19866985618847,0.0253572928707452,0.0253572928707452,0.159239733957154,1.88656571272471,2.51077399965223,"hetero",TRUE,10,150,1.5,2
"58","homo","150",1.5,2.18642219705167,0.0245911275244386,0.0245911275244386,0.156815584443762,1.8790692993273,2.49377509477604,"hetero",TRUE,10,150,1.5,2
"59","Naive","0",1,2.89091361002092,0.0374494105624873,0.0374494105624873,0.1935185018609,2.51162431603141,3.27020290401043,"hetero",FALSE,10,150,1.5,2
"60","Naive","0",1,2.76396808993232,0.0274225924587831,0.0274225924587831,0.165597682528419,2.43940259625332,3.08853358361132,"hetero",TRUE,10,150,1.5,2
"61","hetero","150",1.5,1.80419059002774,0.0530842867510013,0.0530842867510013,0.230400275067113,1.35261434886808,2.2557668311874,"hetero",FALSE,11,150,1.5,2
"62","homo","150",1.5,1.79414037202785,0.0515672006344459,0.0515672006344459,0.227084126777822,1.34906366208259,2.23921708197311,"hetero",FALSE,11,150,1.5,2
"63","hetero","150",1.5,1.8807380529243,0.026167369229741,0.026167369229741,0.161763312372556,1.56368778665418,2.19778831919441,"hetero",TRUE,11,150,1.5,2
"64","homo","150",1.5,1.87026142837196,0.025520657914604,0.025520657914604,0.159751863571615,1.55715352930844,2.18336932743548,"hetero",TRUE,11,150,1.5,2
"65","Naive","0",1,2.26806457775231,0.037045046265306,0.037045046265306,0.192470897190474,1.89082855118687,2.64530060431775,"hetero",FALSE,11,150,1.5,2
"66","Naive","0",1,2.36429309710725,0.0283274316313588,0.0283274316313588,0.168307550725922,2.0344163593583,2.69416983485621,"hetero",TRUE,11,150,1.5,2
"67","hetero","150",1.5,1.73888159153832,0.0621603045073769,0.0621603045073769,0.249319683353274,1.25022399152898,2.22753919154767,"hetero",FALSE,12,150,1.5,2
"68","homo","150",1.5,1.72919517638487,0.0580951743000077,0.0580951743000077,0.241029405467482,1.25678622245351,2.20160413031624,"hetero",FALSE,12,150,1.5,2
"69","hetero","150",1.5,1.78685421932525,0.0280987844840706,0.0280987844840706,0.167626920523139,1.45831149226054,2.11539694638996,"hetero",TRUE,12,150,1.5,2
"70","homo","150",1.5,1.77690057333158,0.0271974602671235,0.0271974602671235,0.164916525148705,1.45367012358462,2.10013102307854,"hetero",TRUE,12,150,1.5,2
"71","Naive","0",1,2.18596403532567,0.041191475666859,0.041191475666859,0.202956832028042,1.78817595413436,2.58375211651698,"hetero",FALSE,12,150,1.5,2
"72","Naive","0",1,2.24627086675834,0.0302772833424129,0.0302772833424129,0.174003687726476,1.90522990563729,2.58731182787939,"hetero",TRUE,12,150,1.5,2
"73","hetero","150",1.5,1.89057702695753,0.0549310668046143,0.0549310668046143,0.234373775846647,1.43121286737744,2.34994118653762,"hetero",FALSE,13,150,1.5,2
"74","homo","150",1.5,1.88004559454039,0.0522328714523221,0.0522328714523221,0.228545119073504,1.43210539231391,2.32798579676688,"hetero",FALSE,13,150,1.5,2
"75","hetero","150",1.5,1.89907152198805,0.0263356681676106,0.0263356681676106,0.162282679813992,1.58100331423798,2.21713972973812,"hetero",TRUE,13,150,1.5,2
"76","homo","150",1.5,1.88849277110727,0.0254514690056911,0.0254514690056911,0.159535165420327,1.57580959261579,2.20117594959875,"hetero",TRUE,13,150,1.5,2
"77","Naive","0",1,2.37666176182014,0.0370785815637945,0.0370785815637945,0.19255799532555,1.99925502604683,2.75406849759345,"hetero",FALSE,13,150,1.5,2
"78","Naive","0",1,2.38734026961811,0.0282155244276668,0.0282155244276668,0.167974773188318,2.05811576385772,2.71656477537849,"hetero",TRUE,13,150,1.5,2
"79","hetero","150",1.5,1.92914598450896,0.0564990545394569,0.0564990545394569,0.237695297680574,1.4632717617605,2.39502020725741,"hetero",FALSE,14,150,1.5,2
"80","homo","150",1.5,1.9183997042628,0.0540537296251153,0.0540537296251153,0.232494579775777,1.4627187013015,2.37408070722409,"hetero",FALSE,14,150,1.5,2
"81","hetero","150",1.5,1.88942395693822,0.0271350733235107,0.0271350733235107,0.164727269519988,1.56656444140743,2.21228347246902,"hetero",TRUE,14,150,1.5,2
"82","homo","150",1.5,1.87889894768122,0.0263559554702239,0.0263559554702239,0.162345173843339,1.56070825388438,2.19708964147806,"hetero",TRUE,14,150,1.5,2
"83","Naive","0",1,2.42514715294608,0.03807757653437,0.03807757653437,0.195134765058331,2.04269004130006,2.80760426459209,"hetero",FALSE,14,150,1.5,2
"84","Naive","0",1,2.375212226898,0.02941453001081,0.02941453001081,0.171506647133019,2.03906537540806,2.71135907838793,"hetero",TRUE,14,150,1.5,2
