"","spec","pi_param","kappa","de_rd","de_rd_var","var_to_use","std_err","ci_low","ci_high","setup","augmented","iter","m_e","kappa_","true_de"
"1","hetero","150",1.1,2.6480768918929,0.0793999887862789,0.0793999887862789,0.281780036174103,2.09579816942927,3.20035561435654,"hetero",FALSE,1,150,1.5,2
"2","homo","150",1.1,2.64453451873557,0.0753598490485542,0.0753598490485542,0.274517484048929,2.10649013687312,3.18257890059802,"hetero",FALSE,1,150,1.5,2
"3","hetero","150",1.1,2.57419087283545,0.0386464160627281,0.0386464160627281,0.196586917323428,2.18888759504978,2.95949415062112,"hetero",TRUE,1,150,1.5,2
"4","homo","150",1.1,2.57074733814138,0.037884934045279,0.037884934045279,0.194640525187534,2.18925891884185,2.95223575744091,"hetero",TRUE,1,150,1.5,2
"5","Naive","0",1,2.78424587475239,0.0369441685444454,0.0369441685444454,0.192208658869587,2.40752382585125,3.16096792365352,"hetero",FALSE,1,150,1.5,2
"6","Naive","0",1,2.70656050073912,0.0294890010617225,0.0294890010617225,0.17172361824083,2.36998839369219,3.04313260778605,"hetero",TRUE,1,150,1.5,2
"7","hetero","150",1.1,2.3808288965359,0.0837400477658315,0.0837400477658315,0.289378727217174,1.8136570132982,2.9480007797736,"hetero",FALSE,2,150,1.5,2
"8","homo","150",1.1,2.37764402512937,0.0805430511611721,0.0805430511611721,0.283801076744208,1.82140413593703,2.9338839143217,"hetero",FALSE,2,150,1.5,2
"9","hetero","150",1.1,2.69955992198756,0.0360582639999792,0.0360582639999792,0.189890136657961,2.32738209311857,3.07173775085655,"hetero",TRUE,2,150,1.5,2
"10","homo","150",1.1,2.69594867918961,0.035389216826803,0.035389216826803,0.188120219080255,2.32723982502852,3.06465753335069,"hetero",TRUE,2,150,1.5,2
"11","Naive","0",1,2.50325549607925,0.039686907927798,0.039686907927798,0.199215732129262,2.11279983595212,2.89371115620638,"hetero",FALSE,2,150,1.5,2
"12","Naive","0",1,2.83837625691751,0.0272742939463655,0.0272742939463655,0.165149308040832,2.51468956108577,3.16206295274925,"hetero",TRUE,2,150,1.5,2
"13","hetero","150",1.1,2.63082671467693,0.0814182058823573,0.0814182058823573,0.285338756362253,2.07157302881347,3.1900804005404,"hetero",FALSE,3,150,1.5,2
"14","homo","150",1.1,2.62730741734678,0.0779088112720555,0.0779088112720555,0.279121499121898,2.08023933175703,3.17437550293653,"hetero",FALSE,3,150,1.5,2
"15","hetero","150",1.1,2.50910339402499,0.0370680515436176,0.0370680515436176,0.192530650919841,2.13175025230205,2.88645653574793,"hetero",TRUE,3,150,1.5,2
"16","homo","150",1.1,2.50574692785168,0.0366970175608804,0.0366970175608804,0.19156465634579,2.13028710070314,2.88120675500021,"hetero",TRUE,3,150,1.5,2
"17","Naive","0",1,2.76610866170568,0.0392612425230398,0.0392612425230398,0.198144499098612,2.37775257973767,3.15446474367369,"hetero",FALSE,3,150,1.5,2
"18","Naive","0",1,2.63812610409042,0.0283354368526015,0.0283354368526015,0.168331330573371,2.30820275869691,2.96804944948393,"hetero",TRUE,3,150,1.5,2
"19","hetero","150",1.1,2.35760055431519,0.0813987129099787,0.0813987129099787,0.285304596720731,1.79841382011883,2.91678728851155,"hetero",FALSE,4,150,1.5,2
"20","homo","150",1.1,2.35444675581904,0.0779541768014831,0.0779541768014831,0.279202752138089,1.80721941724393,2.90167409439416,"hetero",FALSE,4,150,1.5,2
"21","hetero","150",1.1,2.44055089925933,0.0391191046262044,0.0391191046262044,0.197785501557127,2.05289843954317,2.82820335897549,"hetero",TRUE,4,150,1.5,2
"22","homo","150",1.1,2.43728613681187,0.0388388156264549,0.0388388156264549,0.19707565964993,2.05102494166853,2.8235473319552,"hetero",TRUE,4,150,1.5,2
"23","Naive","0",1,2.47883270979107,0.0400671961010921,0.0400671961010921,0.200167919760116,2.08651079620094,2.8711546233812,"hetero",FALSE,4,150,1.5,2
"24","Naive","0",1,2.5660485139949,0.0300218604237334,0.0300218604237334,0.173268174872749,2.22644913157732,2.90564789641248,"hetero",TRUE,4,150,1.5,2
"25","hetero","150",1.1,2.2157631624653,0.0822840622053657,0.0822840622053657,0.286851986580825,1.65354359987311,2.77798272505748,"hetero",FALSE,5,150,1.5,2
"26","homo","150",1.1,2.21279910202817,0.0779955203838016,0.0779955203838016,0.279276780960755,1.66542666962681,2.76017153442953,"hetero",FALSE,5,150,1.5,2
"27","hetero","150",1.1,2.30546240456246,0.039238357004436,0.039238357004436,0.19808674111216,1.91721952616771,2.6937052829572,"hetero",TRUE,5,150,1.5,2
"28","homo","150",1.1,2.30237835207056,0.0382512769050725,0.0382512769050725,0.195579336600451,1.91904989621344,2.68570680792768,"hetero",TRUE,5,150,1.5,2
"29","Naive","0",1,2.32970177845267,0.0389313439867555,0.0389313439867555,0.197310273393849,1.94298074882097,2.71642280808436,"hetero",FALSE,5,150,1.5,2
"30","Naive","0",1,2.42401352051047,0.0298638135725143,0.0298638135725143,0.172811497223172,2.08530920983861,2.76271783118233,"hetero",TRUE,5,150,1.5,2
"31","hetero","150",1.1,2.49043564962593,0.0861494791816214,0.0861494791816214,0.293512315212874,1.91516208278973,3.06570921646213,"hetero",FALSE,6,150,1.5,2
"32","homo","150",1.1,2.48710415558121,0.0822051735647566,0.0822051735647566,0.286714446034302,1.92515416750663,3.0490541436558,"hetero",FALSE,6,150,1.5,2
"33","hetero","150",1.1,2.36307316465033,0.040137503460983,0.040137503460983,0.200343463734116,1.97040719119346,2.75573913810721,"hetero",TRUE,6,150,1.5,2
"34","homo","150",1.1,2.35991204535923,0.0393457969717044,0.0393457969717044,0.198357749966328,1.97113799937083,2.74868609134764,"hetero",TRUE,6,150,1.5,2
"35","Naive","0",1,2.61849842994957,0.0415692675704334,0.0415692675704334,0.203885427557816,2.2188903349637,3.01810652493544,"hetero",FALSE,6,150,1.5,2
"36","Naive","0",1,2.48458673181226,0.0306381727698777,0.0306381727698777,0.175037632439078,2.14151927629251,2.82765418733201,"hetero",TRUE,6,150,1.5,2
"37","hetero","150",1.1,2.57576597353783,0.0828190849483399,0.0828190849483399,0.287783051878216,2.0117215564955,3.13981039058015,"hetero",FALSE,7,150,1.5,2
"38","homo","150",1.1,2.57232033180734,0.0789739757354938,0.0789739757354938,0.281023087548859,2.02152520138733,3.12311546222735,"hetero",FALSE,7,150,1.5,2
"39","hetero","150",1.1,2.6823721343601,0.037560070224059,0.037560070224059,0.193804205898786,2.3025228707461,3.06222139797411,"hetero",TRUE,7,150,1.5,2
"40","homo","150",1.1,2.67878388392983,0.0368315845494908,0.0368315845494908,0.191915566199021,2.30263628610713,3.05493148175252,"hetero",TRUE,7,150,1.5,2
"41","Naive","0",1,2.70821659601579,0.0391909253279423,0.0391909253279423,0.197966980398101,2.32020844430736,3.09622474772421,"hetero",FALSE,7,150,1.5,2
"42","Naive","0",1,2.82030464164668,0.0287720828600464,0.0287720828600464,0.169623355880157,2.48784897318475,3.15276031010861,"hetero",TRUE,7,150,1.5,2
"43","hetero","150",1.1,2.76016506493776,0.0804334710486535,0.0804334710486535,0.283607953077225,2.20430369117727,3.31602643869825,"hetero",FALSE,8,150,1.5,2
"44","homo","150",1.1,2.75647274970863,0.0766867642091454,0.0766867642091454,0.276923751616118,2.21371217007732,3.29923332933993,"hetero",FALSE,8,150,1.5,2
"45","hetero","150",1.1,2.63293448694639,0.0378901071067901,0.0378901071067901,0.194653813491516,2.25142002304964,3.01444895084314,"hetero",TRUE,8,150,1.5,2
"46","homo","150",1.1,2.62941237001688,0.0372459992722527,0.0372459992722527,0.192992225937349,2.25115455788346,3.0076701821503,"hetero",TRUE,8,150,1.5,2
"47","Naive","0",1,2.90209782775425,0.0392176778628202,0.0392176778628202,0.198034537045486,2.51395726745003,3.29023838805847,"hetero",FALSE,8,150,1.5,2
"48","Naive","0",1,2.76832481950085,0.0288999710782923,0.0288999710782923,0.169999914936133,2.43513110885115,3.10151853015054,"hetero",TRUE,8,150,1.5,2
"49","hetero","150",1.1,2.42046105863243,0.0859259801505196,0.0859259801505196,0.293131336009168,1.84593419731435,2.99498791995051,"hetero",FALSE,9,150,1.5,2
"50","homo","150",1.1,2.41722317067354,0.0814602419155367,0.0814602419155367,0.28541240673022,1.85782513274141,2.97662120860567,"hetero",FALSE,9,150,1.5,2
"51","hetero","150",1.1,2.47582367984011,0.0384009827637824,0.0384009827637824,0.195961686979324,2.09174583101092,2.85990152866929,"hetero",TRUE,9,150,1.5,2
"52","homo","150",1.1,2.47251173245194,0.0376089713273925,0.0376089713273925,0.193930325961136,2.092415278058,2.85260818684588,"hetero",TRUE,9,150,1.5,2
"53","Naive","0",1,2.54492561682332,0.0409734923558804,0.0409734923558804,0.202419100768382,2.14819146953431,2.94165976411234,"hetero",FALSE,9,150,1.5,2
"54","Naive","0",1,2.60313508580999,0.029435076734501,0.029435076734501,0.171566537339019,2.26687085167327,2.93939931994672,"hetero",TRUE,9,150,1.5,2
"55","hetero","150",1.1,2.74952783321836,0.080766613910122,0.080766613910122,0.284194676076316,2.19251650351076,3.30653916292597,"hetero",FALSE,10,150,1.5,2
"56","homo","150",1.1,2.74584974757759,0.076459682185115,0.076459682185115,0.27651343942947,2.20389336505453,3.28780613010064,"hetero",FALSE,10,150,1.5,2
"57","hetero","150",1.1,2.62879083174724,0.0362455843386795,0.0362455843386795,0.190382731198708,2.2556475353194,3.00193412817507,"hetero",TRUE,10,150,1.5,2
