"","spec","pi_param","kappa","de_rd","de_rd_var","var_to_use","std_err","ci_low","ci_high","setup","augmented","iter","m_e","kappa_","true_de"
"1","hetero","150",1.9725,2.09605578576885,0.0466710142193567,0.0466710142193567,0.216034752341739,1.67263545177001,2.51947611976769,"hetero",FALSE,1,150,1.9725,2
"2","homo","150",1.9725,2.0770907580367,0.0425180825891556,0.0425180825891556,0.206199133337547,1.67294788305173,2.48123363302166,"hetero",FALSE,1,150,1.9725,2
"3","hetero","150",1.9725,2.08720640930734,0.0216303454347892,0.0216303454347892,0.147072585599048,1.79894943842002,2.37546338019466,"hetero",TRUE,1,150,1.9725,2
"4","homo","150",1.9725,2.06832145037448,0.0207354073451211,0.0207354073451211,0.143997942155856,1.78609066990112,2.35055223084784,"hetero",TRUE,1,150,1.9725,2
"5","Naive","0",1,3.14424587475239,0.0521546755249337,0.0521546755249337,0.228373981716249,2.69664109558253,3.59185065392224,"hetero",FALSE,1,150,1.9725,2
"6","Naive","0",1,3.13097112528143,0.0400786607816529,0.0400786607816529,0.200196555369099,2.73859308692902,3.52334916363385,"hetero",TRUE,1,150,1.9725,2
"7","hetero","150",1.9725,2.03873182386575,0.0526670754321986,0.0526670754321986,0.229493083626062,1.58893364525763,2.48853000247387,"hetero",FALSE,2,150,1.9725,2
"8","homo","150",1.9725,2.0202854610158,0.0486286524897283,0.0486286524897283,0.220519052441571,1.58807606032542,2.45249486170617,"hetero",FALSE,2,150,1.9725,2
"9","hetero","150",1.9725,2.28634044338772,0.0212165341434148,0.0212165341434148,0.145658965200961,2.00085411756846,2.57182676920698,"hetero",TRUE,2,150,1.9725,2
"10","homo","150",1.9725,2.26565372779151,0.0204419503015155,0.0204419503015155,0.142975348579801,1.98542719389804,2.54588026168498,"hetero",TRUE,2,150,1.9725,2
"11","Naive","0",1,3.05825549607925,0.0607133372979239,0.0607133372979239,0.246400765619598,2.57531886970174,3.54119212245675,"hetero",FALSE,2,150,1.9725,2
"12","Naive","0",1,3.4296875857073,0.0393128110274408,0.0393128110274408,0.198274584925655,3.04107654020339,3.81829863121121,"hetero",TRUE,2,150,1.9725,2
"13","hetero","150",1.9725,2.21395822808655,0.0499505449852837,0.0499505449852837,0.223496185616855,1.77591375359543,2.65200270257766,"hetero",FALSE,3,150,1.9725,2
"14","homo","150",1.9725,2.19392642383851,0.0468723002188686,0.0468723002188686,0.21650011597888,1.76959399387116,2.61825885380586,"hetero",FALSE,3,150,1.9725,2
"15","hetero","150",1.9725,2.1016871395997,0.0211328537504026,0.0211328537504026,0.14537143374956,1.81676436506961,2.38660991412979,"hetero",TRUE,3,150,1.9725,2
"16","homo","150",1.9725,2.0826711596065,0.0206110771552033,0.0206110771552033,0.14356558485655,1.80128778386823,2.36405453534477,"hetero",TRUE,3,150,1.9725,2
"17","Naive","0",1,3.32110866170568,0.0575885223699172,0.0575885223699172,0.239976087079353,2.8507641738793,3.79145314953206,"hetero",FALSE,3,150,1.9725,2
"18","Naive","0",1,3.1526933412617,0.0400741749793053,0.0400741749793053,0.200185351560261,2.76033726197109,3.5450494205523,"hetero",TRUE,3,150,1.9725,2
"19","hetero","150",1.9725,1.96245390134418,0.0482479864499848,0.0482479864499848,0.219654242959212,1.53193949609271,2.39296830659565,"hetero",FALSE,4,150,1.9725,2
"20","homo","150",1.9725,1.94469769804332,0.0449419317974466,0.0449419317974466,0.211995122107672,1.52919489381411,2.36020050227253,"hetero",FALSE,4,150,1.9725,2
"21","hetero","150",1.9725,2.06286718302869,0.0228343964966458,0.0228343964966458,0.15111054396251,1.76669595917792,2.35903840687947,"hetero",TRUE,4,150,1.9725,2
"22","homo","150",1.9725,2.04420244442798,0.0223430072273504,0.0223430072273504,0.149475774717345,1.75123530942076,2.3371695794352,"hetero",TRUE,4,150,1.9725,2
"23","Naive","0",1,2.94383270979107,0.0576101390422486,0.0576101390422486,0.240021122075222,2.47339995499475,3.4142654645874,"hetero",FALSE,4,150,1.9725,2
"24","Naive","0",1,3.09446040245579,0.0429036791124878,0.0429036791124878,0.207132033042907,2.68848907764713,3.50043172726444,"hetero",TRUE,4,150,1.9725,2
"25","hetero","150",1.9725,1.9130358298174,0.0512449453520763,0.0512449453520763,0.226373464328477,1.46935199267802,2.35671966695678,"hetero",FALSE,5,150,1.9725,2
"26","homo","150",1.9725,1.89572675922328,0.0471321078844633,0.0471321078844633,0.217099304200781,1.47021994192104,2.32123357652552,"hetero",FALSE,5,150,1.9725,2
"27","hetero","150",1.9725,1.96780914348264,0.0232862676294003,0.0232862676294003,0.15259838671952,1.66872180141347,2.26689648555182,"hetero",TRUE,5,150,1.9725,2
"28","homo","150",1.9725,1.95000448616812,0.0223977499103101,0.0223977499103101,0.149658778260114,1.65667867080803,2.24333030152821,"hetero",TRUE,5,150,1.9725,2
"29","Naive","0",1,2.86970177845267,0.0595856419652698,0.0595856419652698,0.244101704142494,2.39127122976853,3.34813232713681,"hetero",FALSE,5,150,1.9725,2
"30","Naive","0",1,2.95186598739584,0.0436536843991249,0.0436536843991249,0.208934641453075,2.54236161502502,3.36137035976666,"hetero",TRUE,5,150,1.9725,2
"31","hetero","150",1.9725,2.09555751493829,0.0541125013996168,0.0541125013996168,0.232620939297426,1.63962885186546,2.55148617801112,"hetero",FALSE,6,150,1.9725,2
"32","homo","150",1.9725,2.0765969955404,0.0497279215514897,0.0497279215514897,0.222997581940903,1.63952976629671,2.51366422478409,"hetero",FALSE,6,150,1.9725,2
"33","hetero","150",1.9725,1.97208025469978,0.0244931729763804,0.0244931729763804,0.156502948778547,1.66534011161951,2.27882039778005,"hetero",TRUE,6,150,1.9725,2
"34","homo","150",1.9725,1.95423695254421,0.0236649236140364,0.0236649236140364,0.153834078194776,1.65272769968753,2.25574620540088,"hetero",TRUE,6,150,1.9725,2
"35","Naive","0",1,3.14349842994957,0.0638689692068518,0.0638689692068518,0.252723107781722,2.64817024063636,3.63882661926277,"hetero",FALSE,6,150,1.9725,2
"36","Naive","0",1,2.95827298472686,0.0460375250063651,0.0460375250063651,0.214563568683887,2.53773611771205,3.37880985174166,"hetero",TRUE,6,150,1.9725,2
"37","hetero","150",1.9725,2.06537118289306,0.04654294148222,0.04654294148222,0.215738131729697,1.6425322146109,2.48821015117522,"hetero",FALSE,7,150,1.9725,2
"38","homo","150",1.9725,2.04668378820314,0.0433999790755599,0.0433999790755599,0.208326616339727,1.63837112315618,2.4549964532501,"hetero",FALSE,7,150,1.9725,2
"39","hetero","150",1.9725,2.16743042259888,0.0198333299647834,0.0198333299647834,0.140830855868959,1.89140701718377,2.44345382801399,"hetero",TRUE,7,150,1.9725,2
"40","homo","150",1.9725,2.1478196000477,0.0191797599054967,0.0191797599054967,0.138491010197401,1.87638220787822,2.41925699221717,"hetero",TRUE,7,150,1.9725,2
"41","Naive","0",1,3.09821659601579,0.0530652290594342,0.0530652290594342,0.230358913566274,2.64672142190812,3.54971177012346,"hetero",FALSE,7,150,1.9725,2
"42","Naive","0",1,3.25131335307929,0.0371807796751484,0.0371807796751484,0.192823182411111,2.87338686016911,3.62923984598946,"hetero",TRUE,7,150,1.9725,2
"43","hetero","150",1.9725,2.32461196374532,0.0513324118021103,0.0513324118021103,0.226566572561158,1.88054964142477,2.76867428606587,"hetero",FALSE,8,150,1.9725,2
"44","homo","150",1.9725,2.30357896898524,0.0477741378866901,0.0477741378866901,0.218572957812009,1.87518384367931,2.73197409429117,"hetero",FALSE,8,150,1.9725,2
"45","hetero","150",1.9725,2.1935534780658,0.021793264586906,0.021793264586906,0.147625419853445,1.90421297195044,2.48289398418116,"hetero",TRUE,8,150,1.9725,2
"46","homo","150",1.9725,2.17370629516832,0.021208792062285,0.021208792062285,0.14563238672179,1.888272062211,2.45914052812564,"hetero",TRUE,8,150,1.9725,2
"47","Naive","0",1,3.48709782775425,0.0582983369352656,0.0582983369352656,0.241450485473245,3.01386357217698,3.96033208333152,"hetero",FALSE,8,150,1.9725,2
"48","Naive","0",1,3.29049995772286,0.0412834374074605,0.0412834374074605,0.203183260647772,2.89226808459181,3.6887318308539,"hetero",TRUE,8,150,1.9725,2
"49","hetero","150",1.9725,1.93651717738206,0.0486199295018714,0.0486199295018714,0.220499273245676,1.50434654320328,2.36868781156084,"hetero",FALSE,9,150,1.9725,2
"50","homo","150",1.9725,1.91899564850759,0.0442333891570007,0.0442333891570007,0.21031735343761,1.5067812104461,2.33121008656909,"hetero",FALSE,9,150,1.9725,2
"51","hetero","150",1.9725,1.99058543636092,0.0217239166257092,0.0217239166257092,0.14739035458845,1.70170564969897,2.27946522302287,"hetero",TRUE,9,150,1.9725,2
"52","homo","150",1.9725,1.97257470007226,0.0209144156594476,0.0209144156594476,0.144618171954453,1.68912829153152,2.25602110861301,"hetero",TRUE,9,150,1.9725,2
"53","Naive","0",1,2.90492561682333,0.056410954463392,0.056410954463392,0.237509903926956,2.43941475915492,3.37043647449173,"hetero",FALSE,9,150,1.9725,2
"54","Naive","0",1,2.98603218917869,0.041084123432599,0.041084123432599,0.202692188879096,2.58876279902807,3.38330157932931,"hetero",TRUE,9,150,1.9725,2
"55","hetero","150",1.9725,2.29715723491655,0.0516859808460678,0.0516859808460678,0.227345509843647,1.85156822357611,2.742746246257,"hetero",FALSE,10,150,1.9725,2
"56","homo","150",1.9725,2.27637264942933,0.0473709323687568,0.0473709323687568,0.217648644307188,1.84978914530327,2.70295615355539,"hetero",FALSE,10,150,1.9725,2
"57","hetero","150",1.9725,2.18605758077815,0.0222997186827627,0.0222997186827627,0.149330903307931,1.89337438851577,2.47874077304052,"hetero",TRUE,10,150,1.9725,2
"58","homo","150",1.9725,2.16627822045529,0.0214592580560938,0.0214592580560938,0.146489788231446,1.87916351141875,2.45339292949182,"hetero",TRUE,10,150,1.9725,2
"59","Naive","0",1,3.44591361002092,0.0575340499739365,0.0575340499739365,0.239862564761441,2.97579162184909,3.91603559819275,"hetero",FALSE,10,150,1.9725,2
"60","Naive","0",1,3.27925553174703,0.0417604031382516,0.0417604031382516,0.204353622767622,2.87872979101221,3.67978127248186,"hetero",TRUE,10,150,1.9725,2
"61","hetero","150",1.9725,1.81194957749281,0.0445571076347704,0.0445571076347704,0.211085545774149,1.39822951011849,2.22566964486712,"hetero",FALSE,11,150,1.9725,2
"62","homo","150",1.9725,1.79555513120959,0.042531640161753,0.042531640161753,0.206232005667775,1.39134782764129,2.19976243477789,"hetero",FALSE,11,150,1.9725,2
"63","hetero","150",1.9725,1.88461700226975,0.0217142170634885,0.0217142170634885,0.147357446583091,1.59580171411311,2.1734322904264,"hetero",TRUE,11,150,1.9725,2
"64","homo","150",1.9725,1.8675650640746,0.0210719189255013,0.0210719189255013,0.145161699237441,1.58305336163458,2.15207676651462,"hetero",TRUE,11,150,1.9725,2
"65","Naive","0",1,2.71806457775231,0.0550008746307723,0.0550008746307723,0.23452265270283,2.25840862489597,3.17772053060865,"hetero",FALSE,11,150,1.9725,2
"66","Naive","0",1,2.82707133803755,0.0408944676289826,0.0408944676289826,0.202223805791956,2.43071996186869,3.2234227142064,"hetero",TRUE,11,150,1.9725,2
"67","hetero","150",1.9725,1.79721664258019,0.0539909553718389,0.0539909553718389,0.232359539016238,1.34180031464403,2.25263297051635,"hetero",FALSE,12,150,1.9725,2
"68","homo","150",1.9725,1.78095549929449,0.0488373124961112,0.0488373124961112,0.220991657073545,1.34781981054651,2.21409118804246,"hetero",FALSE,12,150,1.9725,2
"69","hetero","150",1.9725,1.84828587136608,0.0231328197502413,0.0231328197502413,0.152094772264668,1.55018559549051,2.14638614724165,"hetero",TRUE,12,150,1.9725,2
"70","homo","150",1.9725,1.83156265576973,0.0222587055226501,0.0222587055226501,0.14919351702621,1.53914873567149,2.12397657586796,"hetero",TRUE,12,150,1.9725,2
"71","Naive","0",1,2.69596403532567,0.0629044062958576,0.0629044062958576,0.250807508451915,2.20439035170769,3.18753771894365,"hetero",FALSE,12,150,1.9725,2
"72","Naive","0",1,2.77257183032189,0.0433025474929297,0.0433025474929297,0.208092641611686,2.36471774731519,3.1804259133286,"hetero",TRUE,12,150,1.9725,2
"73","hetero","150",1.9725,1.85434551309516,0.0452865576283665,0.0452865576283665,0.212806385309197,1.43725266220898,2.27143836398134,"hetero",FALSE,13,150,1.9725,2
"74","homo","150",1.9725,1.83756747010623,0.0419886485210354,0.0419886485210354,0.204911318674775,1.43594866547906,2.2391862747334,"hetero",FALSE,13,150,1.9725,2
"75","hetero","150",1.9725,1.87359682691061,0.0216338519159497,0.0216338519159497,0.147084506036325,1.58531649239555,2.16187716142567,"hetero",TRUE,13,150,1.9725,2
"76","homo","150",1.9725,1.85664459881512,0.0208565322689886,0.0208565322689886,0.144417908408163,1.57359069961251,2.13969849801772,"hetero",TRUE,13,150,1.9725,2
"77","Naive","0",1,2.78166176182014,0.0539098343791988,0.0539098343791988,0.232184914193836,2.3265876922467,3.23673583139358,"hetero",FALSE,13,150,1.9725,2
"78","Naive","0",1,2.8105402222403,0.0405312527847758,0.0405312527847758,0.201323751169046,2.41595292071646,3.20512752376413,"hetero",TRUE,13,150,1.9725,2
"79","hetero","150",1.9725,1.92666537636248,0.0465306100334613,0.0465306100334613,0.215709550167491,1.50388242691286,2.3494483258121,"hetero",FALSE,14,150,1.9725,2
"80","homo","150",1.9725,1.90923298618405,0.0434340627998634,0.0434340627998634,0.208408403860937,1.50076002054113,2.31770595182696,"hetero",FALSE,14,150,1.9725,2
"81","hetero","150",1.9725,1.88774722073087,0.0215959165275606,0.0215959165275606,0.146955491654993,1.59971974975671,2.17577469170503,"hetero",TRUE,14,150,1.9725,2
"82","homo","150",1.9725,1.87066696044604,0.0208731857418963,0.0208731857418963,0.144475554132512,1.58750007769985,2.15383384319223,"hetero",TRUE,14,150,1.9725,2
"83","Naive","0",1,2.89014715294608,0.0543500539971534,0.0543500539971534,0.233130980346142,2.43321882778712,3.34707547810503,"hetero",FALSE,14,150,1.9725,2
"84","Naive","0",1,2.83176690795045,0.0405176995172034,0.0405176995172034,0.201290087975547,2.43724558507348,3.22628823082743,"hetero",TRUE,14,150,1.9725,2
"85","hetero","150",1.9725,2.12237994106727,0.0492637432399431,0.0492637432399431,0.221954371977538,1.68735736578009,2.55740251635445,"hetero",FALSE,15,150,1.9725,2
"86","homo","150",1.9725,2.10317673344571,0.0467730925636831,0.0467730925636831,0.216270877752145,1.67929360214664,2.52705986474477,"hetero",FALSE,15,150,1.9725,2
"87","hetero","150",1.9725,2.19712650093173,0.0216151144610343,0.0216151144610343,0.14702079601551,1.90897103576292,2.48528196610054,"hetero",TRUE,15,150,1.9725,2
"88","homo","150",1.9725,2.17724698946828,0.0208043895470327,0.0208043895470327,0.14423726823201,1.8945471385051,2.45994684043146,"hetero",TRUE,15,150,1.9725,2
"89","Naive","0",1,3.18373414470463,0.0582925942681148,0.0582925942681148,0.241438593162143,2.71052319762881,3.65694509178045,"hetero",FALSE,15,150,1.9725,2
"90","Naive","0",1,3.29585976850788,0.0404359392489227,0.0404359392489227,0.201086894771695,2.90173669699237,3.6899828400234,"hetero",TRUE,15,150,1.9725,2
"91","hetero","150",1.9725,1.9646866357532,0.0548107184925615,0.0548107184925615,0.234116890660545,1.50582596188603,2.42354730962036,"hetero",FALSE,16,150,1.9725,2
"92","homo","150",1.9725,1.94691023076196,0.049994012737182,0.049994012737182,0.22359340942251,1.50867520111332,2.3851452604106,"hetero",FALSE,16,150,1.9725,2
"93","hetero","150",1.9725,1.89562798051115,0.024843258399685,0.024843258399685,0.157617443196129,1.58670346851145,2.20455249251085,"hetero",TRUE,16,150,1.9725,2
"94","homo","150",1.9725,1.87847641543148,0.024107974017478,0.024107974017478,0.155267427419527,1.57415784971702,2.18279498114594,"hetero",TRUE,16,150,1.9725,2
"95","Naive","0",1,2.9471819841771,0.0627719223405035,0.0627719223405035,0.250543254430255,2.45612622892435,3.43823773942986,"hetero",FALSE,16,150,1.9725,2
"96","Naive","0",1,2.84358865744648,0.0464776848291677,0.0464776848291677,0.215586838255882,2.42104621892409,3.26613109596887,"hetero",TRUE,16,150,1.9725,2
"97","hetero","150",1.9725,1.84322699228309,0.0488947965848004,0.0488947965848004,0.221121678233502,1.40983646674437,2.2766175178218,"hetero",FALSE,17,150,1.9725,2
"98","homo","150",1.9725,1.82654954921948,0.0449636569107549,0.0449636569107549,0.212046355570556,1.41094632924822,2.24215276919075,"hetero",FALSE,17,150,1.9725,2
"99","hetero","150",1.9725,1.99377630394604,0.022677523731971,0.022677523731971,0.150590583145066,1.69862418457082,2.28892842332125,"hetero",TRUE,17,150,1.9725,2
"100","homo","150",1.9725,1.97573669681689,0.021628334665286,0.021628334665286,0.147065749463585,1.68749312450888,2.26398026912491,"hetero",TRUE,17,150,1.9725,2
"101","Naive","0",1,2.76498312023336,0.0567302590270583,0.0567302590270583,0.238181147505545,2.29815664932607,3.23180959114065,"hetero",FALSE,17,150,1.9725,2
"102","Naive","0",1,2.99081873747072,0.041990435762231,0.041990435762231,0.204915679639775,2.58919138550922,3.39244608943223,"hetero",TRUE,17,150,1.9725,2
"103","hetero","150",1.9725,1.73962499857959,0.0485453957493676,0.0485453957493676,0.220330197089204,1.30778574757814,2.17146424958104,"hetero",FALSE,18,150,1.9725,2
"104","homo","150",1.9725,1.72388494215285,0.0441089080079594,0.0441089080079594,0.21002120847181,1.31225093755852,2.13551894674717,"hetero",FALSE,18,150,1.9725,2
"105","hetero","150",1.9725,1.7820396756452,0.0239201375095566,0.0239201375095566,0.154661363984534,1.47890897243567,2.08517037885472,"hetero",TRUE,18,150,1.9725,2
"106","homo","150",1.9725,1.76591585294073,0.0229854550364254,0.0229854550364254,0.151609547972499,1.46876659920224,2.06306510667923,"hetero",TRUE,18,150,1.9725,2
"107","Naive","0",1,2.60957211279262,0.0562070585936961,0.0562070585936961,0.237080278795382,2.14490330490895,3.07424092067628,"hetero",FALSE,18,150,1.9725,2
"108","Naive","0",1,2.67319741050556,0.0443820421178044,0.0443820421178044,0.210670458578806,2.26029089908457,3.08610392192656,"hetero",TRUE,18,150,1.9725,2
"109","hetero","150",1.9725,1.83827739637332,0.0523587691910531,0.0523587691910531,0.22882038630999,1.3897976802772,2.28675711246945,"hetero",FALSE,19,150,1.9725,2
"110","homo","150",1.9725,1.82164473705275,0.0475128669962279,0.0475128669962279,0.217974464092076,1.39442263788286,2.24886683622264,"hetero",FALSE,19,150,1.9725,2
"111","hetero","150",1.9725,2.02842367066431,0.0249214671302144,0.0249214671302144,0.157865344931097,1.71901328019236,2.33783406113625,"hetero",TRUE,19,150,1.9725,2
"112","homo","150",1.9725,2.01007057556642,0.024087905044608,0.024087905044608,0.155202786845495,1.705878703049,2.31426244808383,"hetero",TRUE,19,150,1.9725,2
"113","Naive","0",1,2.75755834336119,0.0618777325848663,0.0618777325848663,0.248752351918261,2.27001269253177,3.24510399419061,"hetero",FALSE,19,150,1.9725,2
"114","Naive","0",1,3.04279246861595,0.0467014346167578,0.0467014346167578,0.216105147131571,2.61923416336434,3.46635077386756,"hetero",TRUE,19,150,1.9725,2
"115","hetero","150",1.9725,2.36672030358867,0.0588895062723497,0.0588895062723497,0.242671601701455,1.89109270418317,2.84234790299417,"hetero",FALSE,20,150,1.9725,2
"116","homo","150",1.9725,2.34530631427763,0.0545924563083538,0.0545924563083538,0.233650286343402,1.88736016806709,2.80325246048817,"hetero",FALSE,20,150,1.9725,2
"117","hetero","150",1.9725,2.28258320017357,0.0219466462981289,0.0219466462981289,0.148144005272333,1.99222628531429,2.57294011503286,"hetero",TRUE,20,150,1.9725,2
"118","homo","150",1.9725,2.26193047996157,0.0213001558967076,0.0213001558967076,0.145945729285607,1.97588210686435,2.54797885305879,"hetero",TRUE,20,150,1.9725,2
"119","Naive","0",1,3.55026359592895,0.0663032457354846,0.0663032457354846,0.25749416641059,3.04558430353503,4.05494288832287,"hetero",FALSE,20,150,1.9725,2
"120","Naive","0",1,3.42405143014468,0.0412393287933791,0.0412393287933791,0.203074687721979,3.02603235603789,3.82207050425148,"hetero",TRUE,20,150,1.9725,2
"121","hetero","150",1.9725,2.16730481075208,0.0581308575127631,0.0581308575127631,0.241103416634363,1.69475079759917,2.63985882390498,"hetero",FALSE,21,150,1.9725,2
"122","homo","150",1.9725,2.14769512473179,0.0541524881931455,0.0541524881931455,0.232706871821924,1.69159803700584,2.60379221245774,"hetero",FALSE,21,150,1.9725,2
"123","hetero","150",1.9725,2.02662546912946,0.0254432880952915,0.0254432880952915,0.159509523525373,1.71399254782859,2.33925839043034,"hetero",TRUE,21,150,1.9725,2
"124","homo","150",1.9725,2.00828864408612,0.0246779322099815,0.0246779322099815,0.157092113773994,1.70039375883382,2.31618352933842,"hetero",TRUE,21,150,1.9725,2
"125","Naive","0",1,3.25112492558904,0.0677637399628451,0.0677637399628451,0.260314694097058,2.74091750051224,3.76133235066583,"hetero",FALSE,21,150,1.9725,2
"126","Naive","0",1,3.04009502716601,0.0481555522249334,0.0481555522249334,0.219443733619653,2.60999321263849,3.47019684169354,"hetero",TRUE,21,150,1.9725,2
"127","hetero","150",1.9725,2.12141783489259,0.0544773781945547,0.0544773781945547,0.233403894985827,1.663954606869,2.57888106291618,"hetero",FALSE,22,150,1.9725,2
"128","homo","150",1.9725,2.10222333236867,0.0499051635054574,0.0499051635054574,0.22339463625042,1.66437789097842,2.54006877375892,"hetero",FALSE,22,150,1.9725,2
"129","hetero","150",1.9725,2.09261731525706,0.0240196237572034,0.0240196237572034,0.154982656310967,1.78885689065921,2.3963777398549,"hetero",TRUE,22,150,1.9725,2
"130","homo","150",1.9725,2.07368339866663,0.023157350849019,0.023157350849019,0.152175395018443,1.77542510509733,2.37194169223594,"hetero",TRUE,22,150,1.9725,2
"131","Naive","0",1,3.18229091099332,0.0627359262502265,0.0627359262502265,0.250471408049355,2.69137597205955,3.67320584992709,"hetero",FALSE,22,150,1.9725,2
"132","Naive","0",1,3.13908790291044,0.0446427339746871,0.0446427339746871,0.21128827221284,2.72497049901758,3.5532053068033,"hetero",TRUE,22,150,1.9725,2
"133","hetero","150",1.9725,2.08559710966222,0.0565572483459351,0.0565572483459351,0.237817678791832,1.61948302434332,2.55171119498113,"hetero",FALSE,23,150,1.9725,2
"134","homo","150",1.9725,2.06672671160727,0.052956687496674,0.052956687496674,0.230123200691877,1.61569352624411,2.51775989697044,"hetero",FALSE,23,150,1.9725,2
"135","hetero","150",1.9725,2.0188315295537,0.0243673489317418,0.0243673489317418,0.156100445008148,1.71288027936706,2.32478277974035,"hetero",TRUE,23,150,1.9725,2
"136","homo","150",1.9725,2.00056522375952,0.0236910216060216,0.0236910216060216,0.153918879953115,1.69888976251067,2.30224068500837,"hetero",TRUE,23,150,1.9725,2
"137","Naive","0",1,3.12855705128361,0.0667318289209469,0.0667318289209469,0.25832504509038,2.62224926660178,3.63486483596545,"hetero",FALSE,23,150,1.9725,2
"138","Naive","0",1,3.02840351469506,0.0458374481636943,0.0458374481636943,0.214096819602007,2.60878145907055,3.44802557031956,"hetero",TRUE,23,150,1.9725,2
"139","hetero","150",1.9725,1.97914118967014,0.052946323601431,0.052946323601431,0.230100681444951,1.52815214121991,2.43013023812037,"hetero",FALSE,24,150,1.9725,2
"140","homo","150",1.9725,1.96123400046135,0.0477533141878297,0.0477533141878297,0.218525317040909,1.53293224935097,2.38953575157173,"hetero",FALSE,24,150,1.9725,2
"141","hetero","150",1.9725,1.99554474891573,0.0217120189271918,0.0217120189271918,0.147349987876456,1.70674407955547,2.284345418276,"hetero",TRUE,24,150,1.9725,2
"142","homo","150",1.9725,1.97748914096823,0.0208867371487952,0.0208867371487952,0.144522445138446,1.69423035353921,2.26074792839725,"hetero",TRUE,24,150,1.9725,2
