"","spec","pi_param","kappa","de_rd","de_rd_var","var_to_use","std_err","ci_low","ci_high","setup","augmented","iter","m_e","kappa_","true_de"
"1","hetero","150",0.932692307692308,0.49720882142169,0.0214975381132179,0.0214975381132179,0.14662038778157,0.209838141970516,0.784579500872864,"homo",FALSE,1,150,0.932692307692308,0.52
"2","homo","150",0.932692307692308,0.497697529857175,0.0210023944213908,0.0210023944213908,0.144922028765094,0.213655572911112,0.781739486803237,"homo",FALSE,1,150,0.932692307692308,0.52
"3","hetero","150",0.932692307692308,0.525315546990515,0.00459522165626373,0.00459522165626373,0.0677880642610757,0.39245338245712,0.65817771152391,"homo",TRUE,1,150,0.932692307692308,0.52
"4","homo","150",0.932692307692308,0.525831881633113,0.00454006956268868,0.00454006956268868,0.0673800383102346,0.393769433268124,0.657894329998102,"homo",TRUE,1,150,0.932692307692308,0.52
"5","Naive","0",1,0.48,0.010648,0.010648,0.103189146716115,0.277752988840994,0.682247011159006,"homo",FALSE,1,150,0.932692307692308,0.52
"6","Naive","0",1,0.507133927822237,0.00357263473319743,0.00357263473319743,0.0597715210882024,0.389983899188184,0.62428395645629,"homo",TRUE,1,150,0.932692307692308,0.52
"7","hetero","150",0.932692307692308,0.290038479162652,0.0223067908312783,0.0223067908312783,0.149354580884813,-0.00269112029765606,0.582768078622961,"homo",FALSE,2,150,0.932692307692308,0.52
"8","homo","150",0.932692307692308,0.290323559083352,0.0212485902740165,0.0212485902740165,0.145768961970704,0.00462164355698391,0.57602547460972,"homo",FALSE,2,150,0.932692307692308,0.52
"9","hetero","150",0.932692307692308,0.489731372822992,0.00501612314319399,0.00501612314319399,0.0708245941971713,0.350917718976872,0.628545026669112,"homo",TRUE,2,150,0.932692307692308,0.52
"10","homo","150",0.932692307692308,0.490212731645902,0.00494990632984743,0.00494990632984743,0.0703555707094146,0.352318346943688,0.628107116348116,"homo",TRUE,2,150,0.932692307692308,0.52
"11","Naive","0",1,0.28,0.011208,0.011208,0.105867842142928,0.0725028422788891,0.487497157721111,"homo",FALSE,2,150,0.932692307692308,0.52
"12","Naive","0",1,0.472781352275464,0.00385627257828088,0.00385627257828088,0.0620988935350774,0.351069757466925,0.594492947084002,"homo",TRUE,2,150,0.932692307692308,0.52
"13","hetero","150",0.932692307692308,0.694020646567776,0.0221692233248883,0.0221692233248883,0.148893328678246,0.402195084820128,0.985846208315423,"homo",FALSE,3,150,0.932692307692308,0.52
"14","homo","150",0.932692307692308,0.694702802092306,0.0207858660910506,0.0207858660910506,0.144173042178663,0.412128831880552,0.97727677230406,"homo",FALSE,3,150,0.932692307692308,0.52
"15","hetero","150",0.932692307692308,0.568001104233027,0.00416498550223603,0.00416498550223603,0.0645366988792891,0.441511498748514,0.69449070971754,"homo",TRUE,3,150,0.932692307692308,0.52
