"","spec","pi_param","kappa","de_rd","de_rd_var","var_to_use","std_err","ci_low","ci_high","setup","augmented","iter","m_e","kappa_","true_de"
"1","hetero","150",1.5,2.1233206218807,0.0582888199498354,0.0582888199498354,0.241430776724583,1.65012499474098,2.59651624902041,"homo",FALSE,1,150,1.5,2
"2","homo","150",1.5,2.11149269458105,0.0547986463717836,0.0547986463717836,0.234091106989957,1.65268255577962,2.57030283338248,"homo",FALSE,1,150,1.5,2
"3","hetero","150",1.5,2.05206076809621,0.0253276928215816,0.0253276928215816,0.159146765036496,1.74013884036862,2.3639826958238,"homo",TRUE,1,150,1.5,2
"4","homo","150",1.5,2.04062979279772,0.024457525337216,0.024457525337216,0.156389019234779,1.73411294752001,2.34714663807542,"homo",TRUE,1,150,1.5,2
"5","Naive","0",1,2.66924587475239,0.0341670049066427,0.0341670049066427,0.184843190046706,2.30695987947335,3.03153187003143,"homo",FALSE,1,150,1.5,2
"6","Naive","0",1,2.57966445742446,0.0285598736912641,0.0285598736912641,0.16899666769278,2.24843707523932,2.91089183960959,"homo",TRUE,1,150,1.5,2
"7","hetero","150",1.5,1.89582218329925,0.0583889959606747,0.0583889959606747,0.241638150879936,1.42222011028372,2.36942425631478,"homo",FALSE,2,150,1.5,2
"8","homo","150",1.5,1.88526153281338,0.055748910350646,0.055748910350646,0.236112071590264,1.42249037618132,2.34803268944544,"homo",FALSE,2,150,1.5,2
"9","hetero","150",1.5,2.14610395664814,0.0207544752244955,0.0207544752244955,0.144064135802411,1.86374343901153,2.42846447428476,"homo",TRUE,2,150,1.5,2
"10","homo","150",1.5,2.13414911510648,0.0198992331556767,0.0198992331556767,0.141064641762834,1.85766749775928,2.41063073245368,"homo",TRUE,2,150,1.5,2
"11","Naive","0",1,2.38325549607925,0.0345414755378104,0.0345414755378104,0.185853371069266,2.01898958237813,2.74752140978037,"homo",FALSE,2,150,1.5,2
"12","Naive","0",1,2.69788701434969,0.023308147776547,0.023308147776547,0.15267006182139,2.39865919166226,2.99711483703712,"homo",TRUE,2,150,1.5,2
"13","hetero","150",1.5,2.2719654555219,0.0653597361027203,0.0653597361027203,0.255655502782006,1.77088987761969,2.77304103342411,"homo",FALSE,3,150,1.5,2
"14","homo","150",1.5,2.25930950429234,0.0629563300541547,0.0629563300541547,0.250911000265343,1.76753298044735,2.75108602813734,"homo",FALSE,3,150,1.5,2
"15","hetero","150",1.5,2.16818294256997,0.0251228799542168,0.0251228799542168,0.158501987224819,1.8575247561313,2.47884112900865,"homo",TRUE,3,150,1.5,2
"16","homo","150",1.5,2.15610511035152,0.0245361102250377,0.0245361102250377,0.156640065835781,1.84909622277741,2.46311399792563,"homo",TRUE,3,150,1.5,2
"17","Naive","0",1,2.85610866170568,0.0397114037241471,0.0397114037241471,0.199277203222414,2.46553252044988,3.24668480296148,"homo",FALSE,3,150,1.5,2
"18","Naive","0",1,2.72564271053765,0.0288630007878456,0.0288630007878456,0.169891143935891,2.392662187131,3.05862323394431,"homo",TRUE,3,150,1.5,2
"19","hetero","150",1.5,2.08719554603838,0.0660926081846246,0.0660926081846246,0.257084826826915,1.58331854448591,2.59107254759085,"homo",FALSE,4,150,1.5,2
"20","homo","150",1.5,2.07556885295948,0.0626315710937473,0.0626315710937473,0.250263003845449,1.58506237875959,2.56607532715937,"homo",FALSE,4,150,1.5,2
"21","hetero","150",1.5,2.14136992290999,0.0242065951936447,0.0242065951936447,0.155584688172213,1.83642953754656,2.44631030827342,"homo",TRUE,4,150,1.5,2
"22","homo","150",1.5,2.12944145223588,0.0235735601105198,0.0235735601105198,0.153536836330959,1.82851478272698,2.43036812174478,"homo",TRUE,4,150,1.5,2
"23","Naive","0",1,2.62383270979107,0.0398944876010415,0.0398944876010415,0.199736044821764,2.23235725552594,3.01530816405621,"homo",FALSE,4,150,1.5,2
"24","Naive","0",1,2.69193581701458,0.0278232929788595,0.0278232929788595,0.166803156381585,2.36500763799907,3.01886399603009,"homo",TRUE,4,150,1.5,2
