"","spec","pi_param","ie_rd","ie_rd_var","var_to_use","std_err","ci_low","ci_high","setup","bootstrap","augmented","iter","m_a","true_ie"
"1","hetero",200,0.36884133322597,0.00638143807097195,0.00638143807097195,0.0798839037038873,0.212271759021885,0.525410907430054,"hetero",FALSE,FALSE,1,200,0.335
"2","homo",200,0.372425899234294,0.00634750055372224,0.00634750055372224,0.0796712027882236,0.216273211164389,0.5285785873042,"hetero",FALSE,FALSE,1,200,0.335
"3","hetero",200,0.396605821755924,0.00310512731963425,0.00310512731963425,0.0557236692944232,0.287389436852434,0.505822206659414,"hetero",FALSE,TRUE,1,200,0.335
"4","homo",200,0.40170823548827,0.00303100101680277,0.00303100101680277,0.0550545276685104,0.293803344072125,0.509613126904414,"hetero",FALSE,TRUE,1,200,0.335
"5","hetero",200,0.36884133322597,0.00638143807097195,0.00625554291089112,0.0790919901816304,0.213823881004378,0.523858785447561,"hetero",TRUE,FALSE,1,200,0.335
"6","homo",200,0.372425899234294,0.00634750055372224,0.00609327263005405,0.078059417305371,0.219432252661585,0.525419545807004,"hetero",TRUE,FALSE,1,200,0.335
"7","hetero",200,0.400499106980672,0.00312335914282122,0.00314221567184933,0.0560554695979735,0.290632405432164,0.51036580852918,"hetero",TRUE,TRUE,1,200,0.335
"8","homo",200,0.401708638611863,0.00303844400960714,0.00318565682963885,0.056441623201666,0.291085089907617,0.512332187316109,"hetero",TRUE,TRUE,1,200,0.335
"9","Naive",0,0.29,0.00384874371859297,0.00384874371859297,0.0620382439999148,0.168407276096059,0.411592723903941,"hetero",FALSE,FALSE,1,200,0.335
"10","Naive",0,0.311537899430295,0.00187537775338853,0.00187537775338853,0.0433056318899578,0.226660420598229,0.396415378262362,"hetero",FALSE,TRUE,1,200,0.335
"11","Naive",0,0.29,0.00384874371859297,0.00383698138027606,0.0619433723676396,0.168593221078473,0.411406778921527,"hetero",TRUE,FALSE,1,200,0.335
"12","Naive",0,0.312765628383583,0.00184950118971434,0.00190067179944421,0.0435966948224772,0.227317676686544,0.398213580080622,"hetero",TRUE,TRUE,1,200,0.335
"13","hetero",200,0.291230384168158,0.00643879960804168,0.00643879960804168,0.0802421311284893,0.133958697113579,0.448502071222738,"hetero",FALSE,FALSE,2,200,0.335
"14","homo",200,0.301793401103652,0.00629673878209207,0.00629673878209207,0.0793519929308147,0.146266352857779,0.457320449349526,"hetero",FALSE,FALSE,2,200,0.335
"15","hetero",200,0.379511675789496,0.00317968723780136,0.00317968723780136,0.0563887155182787,0.268991824239195,0.490031527339797,"hetero",FALSE,TRUE,2,200,0.335
"16","homo",200,0.390072483076272,0.00325247936836501,0.00325247936836501,0.057030512608296,0.278294732344155,0.50185023380839,"hetero",FALSE,TRUE,2,200,0.335
"17","hetero",200,0.291230384168158,0.00643879960804168,0.00636064835797183,0.0797536730061496,0.134916057441321,0.447544710894996,"hetero",TRUE,FALSE,2,200,0.335
"18","homo",200,0.301793401103652,0.00629673878209207,0.0063027334708612,0.079389756712445,0.146192337205863,0.457394465001441,"hetero",TRUE,FALSE,2,200,0.335
"19","hetero",200,0.379916032584703,0.00319613356136705,0.00342050477893535,0.0584850816784533,0.265287378862051,0.494544686307354,"hetero",TRUE,TRUE,2,200,0.335
"20","homo",200,0.385709744380099,0.00303822223574318,0.0033635972665024,0.0579965280555863,0.272038638162784,0.499380850597415,"hetero",TRUE,TRUE,2,200,0.335
"21","Naive",0,0.235,0.0038179648241206,0.0038179648241206,0.0617896821817413,0.113894448307611,0.356105551692389,"hetero",FALSE,FALSE,2,200,0.335
"22","Naive",0,0.302148597455233,0.00181543649631243,0.00181543649631243,0.0426079393577351,0.218638570858606,0.38565862405186,"hetero",FALSE,TRUE,2,200,0.335
"23","Naive",0,0.235,0.0038179648241206,0.00381318961292258,0.0617510292458562,0.113970206669842,0.356029793330158,"hetero",TRUE,FALSE,2,200,0.335
"24","Naive",0,0.301508535804386,0.00182186329491627,0.00201429999215558,0.0448809535566656,0.213543483241507,0.389473588367266,"hetero",TRUE,TRUE,2,200,0.335
"25","hetero",200,0.41640502227009,0.00644559166580645,0.00644559166580645,0.0802844422401155,0.259050406960577,0.573759637579602,"hetero",FALSE,FALSE,3,200,0.335
"26","homo",200,0.423794988783852,0.00639059626188174,0.00639059626188174,0.0799412050314588,0.267113106041461,0.580476871526244,"hetero",FALSE,FALSE,3,200,0.335
"27","hetero",200,0.330039947053773,0.00313104160435955,0.00313104160435955,0.0559557110968983,0.220368768574524,0.439711125533022,"hetero",FALSE,TRUE,3,200,0.335
"28","homo",200,0.321079507265718,0.00316024724580977,0.00316024724580977,0.0562160763999923,0.210898022169581,0.431260992361855,"hetero",FALSE,TRUE,3,200,0.335
"29","hetero",200,0.41640502227009,0.00644559166580645,0.00644198816729485,0.0802619970303185,0.259094398763405,0.573715645776775,"hetero",TRUE,FALSE,3,200,0.335
"30","homo",200,0.423794988783852,0.00639059626188174,0.00646156025910177,0.0803838308312174,0.266245575415306,0.581344402152399,"hetero",TRUE,FALSE,3,200,0.335
"31","hetero",200,0.336230830901915,0.00315511444368616,0.00293586276403575,0.0541836023538095,0.230032921735808,0.442428740068021,"hetero",TRUE,TRUE,3,200,0.335
"32","homo",200,0.337309059696946,0.00311811115361686,0.00293642879791496,0.0541888253970776,0.231100913554145,0.443517205839748,"hetero",TRUE,TRUE,3,200,0.335
"33","Naive",0,0.33,0.0038748743718593,0.0038748743718593,0.0622484889122563,0.207995203639937,0.452004796360063,"hetero",FALSE,FALSE,3,200,0.335
"34","Naive",0,0.26444898695443,0.00192518728266268,0.00192518728266268,0.0438769561690721,0.178451733111806,0.350446240797054,"hetero",FALSE,TRUE,3,200,0.335
"35","Naive",0,0.33,0.0038748743718593,0.00379168131126225,0.0615766295867373,0.209312023720631,0.450687976279369,"hetero",TRUE,FALSE,3,200,0.335
"36","Naive",0,0.26822408514026,0.00199094423017571,0.00177537201835457,0.0421351636801682,0.18564068184443,0.350807488436089,"hetero",TRUE,TRUE,3,200,0.335
"37","hetero",200,0.365834277751783,0.00582909612410087,0.00582909612410087,0.0763485174977279,0.21619393318321,0.515474622320356,"hetero",FALSE,FALSE,4,200,0.335
"38","homo",200,0.359583626846905,0.00564885282336739,0.00564885282336739,0.0751588505990305,0.212274986553378,0.506892267140431,"hetero",FALSE,FALSE,4,200,0.335
"39","hetero",200,0.396709182289418,0.00263412908671394,0.00263412908671394,0.0513237672693065,0.296116446890661,0.497301917688174,"hetero",FALSE,TRUE,4,200,0.335
"40","homo",200,0.376841259194197,0.00273755123893805,0.00273755123893805,0.0523216134970821,0.274292781126891,0.479389737261503,"hetero",FALSE,TRUE,4,200,0.335
"41","hetero",200,0.365834277751783,0.00582909612410087,0.00597766296476504,0.0773153475369867,0.214298981127091,0.517369574376474,"hetero",TRUE,FALSE,4,200,0.335
"42","homo",200,0.359583626846905,0.00564885282336739,0.00568103290915972,0.0753726270549177,0.211855992399097,0.507311261294713,"hetero",TRUE,FALSE,4,200,0.335
"43","hetero",200,0.395586165899527,0.00268253772898731,0.00277137817023169,0.0526438806532315,0.292406055812769,0.498766275986286,"hetero",TRUE,TRUE,4,200,0.335
"44","homo",200,0.369942984535394,0.0027030983088979,0.0026555620921334,0.0515321462015062,0.268941833934389,0.470944135136398,"hetero",TRUE,TRUE,4,200,0.335
"45","Naive",0,0.28,0.0034251256281407,0.0034251256281407,0.0585245728573964,0.165293944988913,0.394706055011087,"hetero",FALSE,FALSE,4,200,0.335
"46","Naive",0,0.306572002287617,0.00162091395630095,0.00162091395630095,0.04026057570752,0.22766272390403,0.385481280671205,"hetero",FALSE,TRUE,4,200,0.335
"47","Naive",0,0.28,0.0034251256281407,0.00330812704940988,0.0575163198528025,0.167270084565221,0.392729915434779,"hetero",TRUE,FALSE,4,200,0.335
"48","Naive",0,0.30538341974162,0.00156991933611622,0.00156365734294298,0.0395431074012018,0.227880353398466,0.382886486084775,"hetero",TRUE,TRUE,4,200,0.335
"49","hetero",200,0.268664507744891,0.00711359562770983,0.00711359562770983,0.0843421343559067,0.103356962028076,0.433972053461707,"hetero",FALSE,FALSE,5,200,0.335
"50","homo",200,0.276108856328873,0.00695146204066898,0.00695146204066898,0.083375428278774,0.112696019706874,0.439521692950873,"hetero",FALSE,FALSE,5,200,0.335
"51","hetero",200,0.272928136743847,0.00342344765508931,0.00342344765508931,0.0585102354728581,0.158250182490087,0.387606090997607,"hetero",FALSE,TRUE,5,200,0.335
