"","spec","pi_param","ie_rd","ie_rd_var","var_to_use","std_err","ci_low","ci_high","setup","bootstrap","augmented","iter","m_a","true_ie"
"1","hetero",200,0.30565924248807,0.00675827375612124,0.00675827375612124,0.0822087206816968,0.144533110736831,0.466785374239308,"homo",FALSE,FALSE,1,200,0.38
"2","homo",200,0.301793401103652,0.00671112059131796,0.00671112059131796,0.0819214293778982,0.14123034996093,0.462356452246374,"homo",FALSE,FALSE,1,200,0.38
"3","hetero",200,0.337496336639245,0.00344877382411703,0.00344877382411703,0.0587262617924641,0.222394978579344,0.452597694699145,"homo",FALSE,TRUE,1,200,0.38
"4","homo",200,0.339797482874977,0.00354137790592861,0.00354137790592861,0.0595094774462741,0.223161050341481,0.456433915408473,"homo",FALSE,TRUE,1,200,0.38
"5","hetero",200,0.30565924248807,0.00675827375612124,0.00666030457919011,0.0816106891233625,0.145705231052785,0.465613253923355,"homo",TRUE,FALSE,1,200,0.38
"6","homo",200,0.301793401103652,0.00671112059131796,0.00675488121877494,0.0821880844087203,0.140707715704223,0.462879086503082,"homo",TRUE,FALSE,1,200,0.38
"7","hetero",200,0.333912724285288,0.00340946929893708,0.0036180320466841,0.0601500793572552,0.216020735077842,0.451804713492734,"homo",TRUE,TRUE,1,200,0.38
"8","homo",200,0.326704657389824,0.00344957962985461,0.00350558548683599,0.059207984992195,0.210659139207934,0.442750175571714,"homo",TRUE,TRUE,1,200,0.38
"9","Naive",0,0.235,0.00406922110552764,0.00406922110552764,0.0637904468202539,0.109973021674585,0.360026978325415,"homo",FALSE,FALSE,1,200,0.38
"10","Naive",0,0.258099450176605,0.00208435656915626,0.00208435656915626,0.0456547540696066,0.168617776477143,0.347581123876068,"homo",FALSE,TRUE,1,200,0.38
"11","Naive",0,0.235,0.00406922110552764,0.00408365110522104,0.06390345143434,0.109751536700889,0.360248463299111,"homo",TRUE,FALSE,1,200,0.38
"12","Naive",0,0.260133379483266,0.00213589455325638,0.00206033366654769,0.0453908984990129,0.171168853199288,0.349097905767245,"homo",TRUE,TRUE,1,200,0.38
"13","hetero",200,0.399487924126179,0.00574779295676754,0.00574779295676754,0.0758142002316686,0.250894822155401,0.548081026096958,"homo",FALSE,FALSE,2,200,0.38
"14","homo",200,0.398110444009073,0.00566791438659178,0.00566791438659178,0.075285552309801,0.250553472925657,0.545667415092489,"homo",FALSE,FALSE,2,200,0.38
"15","hetero",200,0.465157019288689,0.00308620526286026,0.00308620526286026,0.0555536251099805,0.356273914862487,0.574040123714891,"homo",FALSE,TRUE,2,200,0.38
